,result_flag
0,4
1,8
2,8
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,7
19,3
20,1
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,3
29,5
30,1
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,3
46,2
47,1
48,0
49,0
50,0
51,0
52,0
53,0
54,3
55,3
56,1
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,3
67,3
68,2
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,3
78,2
79,8
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,3
90,2
91,4
92,0
93,0
94,0
95,0
96,0
97,0
98,5
99,2
100,2
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,3
109,3
110,3
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,5
121,2
122,8
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,6
137,3
138,1
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,3
152,3
153,8
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,4
164,2
165,2
166,0
167,0
168,0
169,0
170,0
171,0
172,3
173,2
174,2
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,3
188,2
189,5
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,4
206,5
207,3
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,3
219,8
220,2
221,0
222,0
223,0
224,0
225,0
226,4
227,5
228,1
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,4
242,9
243,2
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,3
259,9
260,1
261,0
262,0
263,0
264,0
265,0
